500
1	1
2	2
3	3
4	4
5	1
6	5
7	3
8	1
9	2
10	4
11	5
12	6
13	7
14	8
15	9
16	6
17	9
18	6
19	9
20	5
21	7
22	2
23	4
24	10
25	8
26	2
27	8
28	4
29	11
30	12
31	1
32	13
33	3
34	11
35	13
36	7
37	10
38	1
39	9
40	7
41	13
42	14
43	10
44	2
45	11
46	12
47	14
48	15
49	14
50	3
51	15
52	12
53	15
54	12
55	4
56	16
57	3
58	13
59	17
60	18
61	19
62	4
63	16
64	17
65	18
66	6
67	7
68	18
69	14
70	16
71	6
72	5
73	20
74	10
75	2
76	20
77	19
78	21
79	22
80	14
81	22
82	14
83	19
84	8
85	23
86	24
87	21
88	11
89	25
90	15
91	17
92	13
93	12
94	22
95	23
96	3
97	8
98	21
99	22
100	24
101	26
102	24
103	19
104	25
105	17
106	23
107	27
108	23
109	10
110	26
111	28
112	20
113	29
114	17
115	18
116	24
117	29
118	27
119	25
120	26
121	28
122	30
123	29
124	2
125	30
126	18
127	30
128	15
129	31
130	28
131	27
132	31
133	32
134	33
135	12
136	31
137	33
138	18
139	34
140	1
141	32
142	11
143	35
144	31
145	33
146	36
147	34
148	32
149	35
150	21
151	30
152	15
153	1
154	37
155	17
156	30
157	37
158	32
159	5
160	34
161	36
162	38
163	34
164	36
165	38
166	39
167	20
168	38
169	33
170	20
171	38
172	40
173	27
174	41
175	37
176	40
177	29
178	26
179	42
180	39
181	43
182	39
183	22
184	23
185	41
186	16
187	7
188	9
189	28
190	42
191	37
192	44
193	35
194	41
195	43
196	38
197	44
198	43
199	45
200	11
201	45
202	46
203	36
204	25
205	42
206	44
207	47
208	45
209	31
210	19
211	48
212	32
213	46
214	40
215	45
216	21
217	27
218	49
219	22
220	48
221	50
222	15
223	47
224	35
225	40
226	25
227	24
228	51
229	42
230	44
231	16
232	33
233	47
234	48
235	49
236	52
237	50
238	29
239	32
240	28
241	45
242	53
243	50
244	39
245	53
246	46
247	51
248	25
249	52
250	54
251	26
252	5
253	34
254	24
255	34
256	16
257	52
258	6
259	49
260	8
261	22
262	53
263	42
264	55
265	54
266	51
267	23
268	56
269	57
270	50
271	28
272	50
273	58
274	12
275	55
276	53
277	31
278	46
279	42
280	47
281	26
282	49
283	56
284	41
285	36
286	57
287	52
288	59
289	58
290	11
291	51
292	30
293	55
294	51
295	56
296	60
297	54
298	60
299	43
300	32
301	58
302	51
303	55
304	43
305	61
306	62
307	61
308	22
309	59
310	57
311	48
312	62
313	48
314	42
315	63
316	10
317	59
318	63
319	62
320	64
321	44
322	4
323	61
324	39
325	63
326	23
327	60
328	62
329	65
330	56
331	64
332	52
333	53
334	4
335	17
336	57
337	36
338	35
339	65
340	61
341	46
342	65
343	46
344	33
345	66
346	67
347	38
348	51
349	66
350	21
351	14
352	66
353	68
354	53
355	67
356	54
357	47
358	6
359	69
360	45
361	5
362	70
363	52
364	21
365	68
366	40
367	20
368	59
369	65
370	61
371	69
372	62
373	59
374	71
375	23
376	72
377	39
378	67
379	68
380	40
381	70
382	6
383	49
384	73
385	24
386	67
387	71
388	55
389	70
390	65
391	64
392	72
393	73
394	58
395	74
396	41
397	72
398	73
399	75
400	74
401	54
402	66
403	71
404	66
405	74
406	13
407	69
408	60
409	63
410	27
411	58
412	37
413	72
414	75
415	62
416	49
417	75
418	76
419	77
420	76
421	26
422	78
423	44
424	77
425	76
426	78
427	60
428	69
429	79
430	41
431	71
432	80
433	25
434	1
435	80
436	81
437	78
438	79
439	40
440	79
441	38
442	53
443	82
444	47
445	82
446	64
447	68
448	57
449	81
450	69
451	19
452	67
453	83
454	38
455	84
456	26
457	81
458	2
459	34
460	9
461	78
462	79
463	83
464	5
465	56
466	85
467	86
468	85
469	29
470	64
471	87
472	83
473	84
474	87
475	77
476	50
477	86
478	8
479	84
480	62
481	68
482	88
483	80
484	87
485	56
486	88
487	55
488	73
489	16
490	86
491	54
492	86
493	89
494	90
495	72
496	18
497	85
498	76
499	90
500	48
90
